depth,trees,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
20.0,600,balanced,False,0.1,0.976190476190476,0.019999999999999997,0.1,0.021589635728151504,0.021473497877875208,0.15275252316519466
30.0,600,balanced,False,0.1,0.976190476190476,0.019999999999999997,0.1,0.021589635728151504,0.021473497877875208,0.15275252316519466
,300,balanced,False,0.1,0.9730158730158729,0.02333333333333333,0.1,0.02412489548185821,0.023804761428476165,0.15275252316519466
10.0,300,balanced,False,0.1,0.9730158730158729,0.02333333333333333,0.1,0.02412489548185821,0.023804761428476165,0.15275252316519466
20.0,300,balanced,False,0.1,0.9730158730158729,0.02333333333333333,0.1,0.02412489548185821,0.023804761428476165,0.15275252316519466
30.0,300,balanced,False,0.1,0.9730158730158729,0.02333333333333333,0.1,0.02412489548185821,0.023804761428476165,0.15275252316519466
,300,balanced_subsample,False,0.1,0.9730158730158729,0.023333333333333334,0.1,0.025147586536118822,0.026034165586355518,0.15275252316519466
10.0,300,balanced_subsample,False,0.1,0.9730158730158729,0.023333333333333334,0.1,0.025147586536118822,0.026034165586355518,0.15275252316519466
20.0,300,balanced_subsample,False,0.1,0.9730158730158729,0.023333333333333334,0.1,0.025147586536118822,0.026034165586355518,0.15275252316519466
30.0,300,balanced_subsample,False,0.1,0.9730158730158729,0.023333333333333334,0.1,0.025147586536118822,0.026034165586355518,0.15275252316519466
,100,balanced,False,0.1,0.9674603174603174,0.029166666666666667,0.1,0.025827206500433308,0.02520747243709029,0.15275252316519466
10.0,100,balanced,False,0.1,0.9674603174603174,0.029166666666666667,0.1,0.025827206500433308,0.02520747243709029,0.15275252316519466
20.0,100,balanced,False,0.1,0.9674603174603174,0.029166666666666667,0.1,0.025827206500433308,0.02520747243709029,0.15275252316519466
30.0,100,balanced,False,0.1,0.9674603174603174,0.029166666666666667,0.1,0.025827206500433308,0.02520747243709029,0.15275252316519466
,100,balanced_subsample,False,0.1,0.965079365079365,0.03166666666666667,0.1,0.02489585260533034,0.02522124325070259,0.15275252316519466
,600,balanced,True,0.3,0.965079365079365,0.03166666666666667,0.1,0.03499271061118826,0.035707142142714254,0.15275252316519466
10.0,100,balanced_subsample,False,0.1,0.965079365079365,0.03166666666666667,0.1,0.02489585260533034,0.02522124325070259,0.15275252316519466
10.0,600,balanced,True,0.3,0.965079365079365,0.03166666666666667,0.1,0.03499271061118826,0.035707142142714254,0.15275252316519466
20.0,100,balanced_subsample,False,0.1,0.965079365079365,0.03166666666666667,0.1,0.02489585260533034,0.02522124325070259,0.15275252316519466
20.0,600,balanced,True,0.3,0.965079365079365,0.03166666666666667,0.1,0.03499271061118826,0.035707142142714254,0.15275252316519466
30.0,100,balanced_subsample,False,0.1,0.965079365079365,0.03166666666666667,0.1,0.02489585260533034,0.02522124325070259,0.15275252316519466
30.0,600,balanced,True,0.3,0.965079365079365,0.03166666666666667,0.1,0.03499271061118826,0.035707142142714254,0.15275252316519466
,600,balanced_subsample,True,0.3,0.9634920634920634,0.03333333333333334,0.1,0.03408081040251411,0.034156502553198666,0.15275252316519466
