kernel,C,gamma,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
rbf,10,0.1,,True,0.3,0.9793650793650794,0.0,0.4333333333333333,0.012397221707788333,0.0,0.2603416558635551
rbf,10,0.1,balanced,False,0.5,0.9793650793650794,0.0,0.4333333333333333,0.013374840909803742,0.0,0.28087165910587863
rbf,10,0.1,balanced,True,0.3,0.9793650793650794,0.0,0.4333333333333333,0.012397221707788333,0.0,0.2603416558635551
rbf,100,0.1,,False,0.5,0.9793650793650794,0.0,0.4333333333333333,0.013374840909803742,0.0,0.28087165910587863
rbf,100,0.1,,True,0.3,0.9793650793650794,0.0,0.4333333333333333,0.012397221707788333,0.0,0.2603416558635551
rbf,100,0.1,balanced,False,0.5,0.9793650793650794,0.0,0.4333333333333333,0.013374840909803742,0.0,0.28087165910587863
rbf,100,0.1,balanced,True,0.3,0.9793650793650794,0.0,0.4333333333333333,0.012397221707788333,0.0,0.2603416558635551
rbf,1,scale,balanced,True,0.3,0.9793650793650794,0.0125,0.18333333333333332,0.014285714285714289,0.016562172428626495,0.22298480267099421
rbf,1,0.01,,True,0.3,0.9785714285714286,0.013333333333333332,0.18333333333333332,0.0189647668973786,0.01795054935711501,0.22298480267099421
rbf,1,0.01,balanced,True,0.3,0.9785714285714286,0.013333333333333332,0.18333333333333332,0.015286793876395408,0.01632993161855452,0.22298480267099421
rbf,1,0.001,balanced,False,0.1,0.9785714285714284,0.014166666666666666,0.16666666666666666,0.017586126830285983,0.01769730048466275,0.19720265943665388
rbf,1,scale,,True,0.3,0.976190476190476,0.01583333333333333,0.18333333333333332,0.01702191316629144,0.01622326861160982,0.22298480267099421
rbf,1,0.001,,True,0.5,0.9753968253968253,0.016666666666666666,0.18333333333333332,0.026784979413787623,0.023570226039551587,0.22298480267099421
rbf,10,0.001,balanced,True,0.3,0.9738095238095239,0.020833333333333336,0.13333333333333333,0.022037211709388608,0.022897719440056807,0.19436506316151
rbf,1,0.001,,False,0.15,0.9738095238095237,0.02,0.15,0.016854571890154997,0.016329931618554522,0.16583123951776998
rbf,1,0.1,balanced,True,0.5,0.9730158730158729,0.0,0.5666666666666667,0.011335600680226739,0.0,0.23804761428476168
rbf,10,0.1,,True,0.5,0.9730158730158729,0.0,0.5666666666666667,0.011335600680226739,0.0,0.23804761428476168
rbf,10,0.1,balanced,True,0.5,0.9730158730158729,0.0,0.5666666666666667,0.011335600680226739,0.0,0.23804761428476168
rbf,100,0.1,,True,0.5,0.9730158730158729,0.0,0.5666666666666667,0.011335600680226739,0.0,0.23804761428476168
rbf,100,0.1,balanced,True,0.5,0.9730158730158729,0.0,0.5666666666666667,0.011335600680226739,0.0,0.23804761428476168
rbf,10,0.001,,True,0.3,0.9730158730158729,0.019999999999999997,0.16666666666666666,0.01950508845626113,0.01870828693386971,0.19720265943665388
linear,1,,,True,0.3,0.9730158730158729,0.021666666666666667,0.13333333333333333,0.021936944382675013,0.021794494717703367,0.19436506316151
linear,1,,balanced,True,0.3,0.9730158730158729,0.021666666666666667,0.13333333333333333,0.021936944382675013,0.021794494717703367,0.19436506316151
linear,10,,,True,0.3,0.9730158730158729,0.021666666666666667,0.13333333333333333,0.021936944382675013,0.021794494717703367,0.19436506316151
linear,10,,balanced,True,0.3,0.9730158730158729,0.021666666666666667,0.13333333333333333,0.021936944382675013,0.021794494717703367,0.19436506316151
